CensusTract,PM25
10300,12.264655
20100,12.283052
20300,12.241216
30500,12.234197
40200,12.315312
40400,12.245356
40500,12.315699
40600,12.324962
40900,12.337762
50100,12.249677
50600,12.221995
50900,12.243351
51000,12.255559
51100,12.285219
60300,12.17729
60500,12.183614
70300,12.257625
70500,12.245584
70600,12.256088
70800,12.25
70900,12.25037
80200,12.217096
80400,12.229384
80600,12.222447
80700,12.225592
80900,12.21183
90100,12.162364
90200,12.19583
90300,12.198438
100500,12.179871
101100,12.157773
101400,12.162134
101600,12.190482
101700,12.199422
101800,12.159449
110200,12.189375
110600,12.201115
111300,12.207329
111400,12.2112
111500,12.226222
120300,12.214142
120400,12.229636
120700,12.251142
120800,12.239521
130100,12.232178
130200,12.228263
130300,12.243885
130400,12.231452
130600,12.229266
140100,12.285337
140200,12.270436
140300,12.272825
140400,12.27657
140500,12.280433
140600,12.240512
140800,12.349463
141000,12.30074
141100,12.385153
141300,12.338912
141400,12.376482
151600,12.322416
151700,12.335384
160800,12.358962
160900,12.35654
170200,12.298205
170600,12.307553
180300,12.301099
180700,12.294003
190300,12.27743
191100,12.267195
191400,12.284805
191500,12.290145
191600,12.284014
191700,12.30514
191800,12.283096
191900,12.26534
192000,12.286129
202200,12.213395
202300,12.220888
210700,12.220129
220600,12.246405
240600,12.20563
241200,12.183118
250300,12.228973
250700,12.226104
250900,12.238934
260200,12.162627
260700,12.198241
260900,12.171797
261200,12.160112
261400,12.236356
261500,12.224518
262000,12.197362
270100,12.195901
270300,12.200384
270400,12.215499
270800,12.192786
271500,12.205422
281400,12.240499
281500,12.238805
290100,12.308151
290200,12.345553
290400,12.32771
300100,12.317734
310200,12.455896
310300,12.452951
320400,12.315795
320600,12.269332
320700,12.306186
401100,11.251282
401200,11.357173
401300,11.407247
402000,11.433118
403500,11.465822
404000,11.552485
405000,11.535279
406000,11.311841
407001,11.505247
407002,11.638003
408001,11.597466
408002,11.66043
409000,11.659814
410000,11.734074
411000,11.731268
412001,11.785071
412002,11.889096
413100,11.780652
413201,11.872668
413202,11.862159
413300,11.978578
413400,11.934701
413500,11.825847
414101,11.749063
414102,11.756301
414200,11.880055
415001,11.748099
415002,11.916422
416000,11.696951
417100,11.720326
417200,11.730079
418000,11.759918
419000,11.844841
420000,12.097203
421100,12.056619
421200,12.080271
422000,12.042707
423000,12.161773
424000,12.178978
425000,12.163241
426300,11.993373
426400,12.067816
426700,12.10269
426800,12.007611
427000,12.165386
427100,12.096989
427200,12.14111
428100,12.204614
428200,12.186225
429100,12.11023
429201,12.006707
429202,12.07689
429300,12.034003
429400,12.046405
429500,12.056811
429600,12.121008
429700,12.131811
430100,12.121079
430200,12.109885
431100,12.171636
431400,12.142241
431500,12.162715
432300,12.129014
432400,12.144288
434000,12.109619
435000,12.065647
437000,12.006871
439000,11.830296
445500,11.88891
446000,11.858312
447000,11.851712
448000,11.85434
449000,11.857693
450700,11.936326
450800,11.94326
451101,11.863449
451102,11.864266
451104,11.800129
451105,11.82329
451300,11.893707
452000,11.713441
453003,11.841403
453004,11.816715
455000,11.798811
456001,11.852786
456003,11.780967
456004,11.920827
457100,12.016
457200,12.035195
458000,11.968718
459101,11.991477
459102,12.017581
459201,12.014049
459202,12.120197
460001,12.089981
460002,12.126027
461000,12.048871
462100,12.160904
462600,12.162767
463900,12.180723
464300,12.175104
464400,12.194592
465600,12.174296
465800,12.169737
468700,12.136077
468800,12.128942
468900,12.16769
469000,12.210737
470300,12.107578
470400,12.084734
470501,12.177452
470502,12.158386
470600,12.102016
471000,12.084463
472100,12.204526
472200,12.20831
472300,12.220027
472400,12.207981
473100,12.194326
473200,12.181542
473300,12.231323
473401,12.197605
473402,12.159532
473500,12.145786
473601,12.145121
473602,12.132586
474101,12.084773
474102,12.097425
474201,12.030855
474202,11.978605
474203,12.006359
475101,12.144282
475102,12.152104
475200,12.087107
475301,12.135216
475303,12.072822
475304,12.050575
475401,12.201488
475402,12.128408
476100,12.191644
476200,12.262036
477100,12.267701
477200,12.309814
477300,12.359622
478100,12.356219
478200,12.361745
479000,12.265238
480101,12.319564
480102,12.266734
480200,12.388364
480300,12.397205
480400,12.394474
481000,12.328205
482500,12.429808
483800,12.438468
484300,12.386142
484500,12.434641
484600,12.405592
485000,12.402556
486700,12.385655
486800,12.371334
486900,12.38737
487000,12.410058
488100,12.446208
488200,12.424685
488300,12.450951
488400,12.434858
488500,12.435751
488600,12.414551
489001,12.359118
489002,12.333827
490002,12.113227
490003,12.259014
490004,12.164016
491101,12.256134
491200,12.309088
492700,12.311852
492800,12.247515
492900,12.234685
494000,12.128833
495000,11.828959
496101,12.022945
496102,11.867156
496200,12.132795
497000,12.268858
498000,12.393822
499300,12.440323
499400,12.396071
500300,12.420611
501000,12.294721
503002,12.278225
504100,12.330107
507000,12.236055
508000,12.228104
509400,12.271838
510000,12.367614
512000,12.357137
512800,12.379058
512900,12.367573
513800,12.390156
514000,12.371521
515100,12.35114
515200,12.334003
515300,12.358184
515401,12.3444
516100,12.286767
516200,12.288334
517000,12.346266
518001,12.290855
519000,12.228871
520001,12.175334
520002,12.28294
521100,12.035978
521200,12.154841
521301,12.022992
521302,12.138573
521401,11.891463
521402,11.967337
521500,11.884055
522000,12.1174
523100,12.160822
523200,12.18806
523300,12.11283
523400,12.157167
523501,12.065537
523502,12.038164
523600,12.130515
523701,11.9922
523702,11.979474
523800,12.083397
524000,12.025033
525100,11.953397
525200,11.987871
525300,11.940447
526101,11.769959
526102,11.687186
526201,11.877521
526202,11.91411
526301,11.748816
526302,11.747586
550900,12.389236
551200,12.350841
551300,12.314384
551900,12.381041
552000,12.366737
552100,12.429852
552200,12.424948
552300,12.397249
552400,12.375458
560400,12.249805
560500,12.287825
560600,12.284636
561000,12.274995
561100,12.227392
561200,12.250685
561400,12.188142
561500,12.258671
561600,12.338299
561700,12.370164
561900,12.1864
562000,12.22189
562300,12.379904
562400,12.307153
562500,12.212699
562600,12.251616
562700,12.251408
562800,12.169079
562900,12.386745
563000,12.157559
563100,12.257348
563200,12.248038
563300,11.918956
563800,11.994033
563900,12.290844
564000,11.69654
564100,12.142016
564200,12.190896
564400,12.192852
564500,12.115592
980000,12.158553
980100,12.171268
980700,12.277704
981100,12.297414
982200,12.272995
